# 表記	よみ	出典ページ
# Source: 四科のまとめ 社会 巻末解答（ふりがな付き）
主権	しゅけん	228
交戦権	こうせんけん	228
基本的人権	きほんてきじんけん	228
経済活動	けいざいかつどう	228
裁判	さいばん	228
環境	かんきょう	228
公共の福祉	こうきょうのふくし	228
国民主権	こくみんしゅけん	228
平和主義	へいわしゅぎ	228
基本的人権の尊重	きほんてきじんけんのそんちょう	228
生存権	せいぞんけん	228
団結権	だんけつけん	228
団体交渉権	だんたいこうしょうけん	228
団体行動権	だんたいこうどうけん	228
争議権	そうぎけん	228
請求権	せいきゅうけん	228
勤労	きんろう	228
普通教育	ふつうきょういく	228
象徴	しょうちょう	228
内閣	ないかく	228
承認	しょうにん	228
任命	にんめい	228
解散	かいさん	228
総議員	そうぎいん	228
憲法審査会	けんぽうしんさかい	228
発議	はつぎ	228
国民投票	こくみんとうひょう	228
対等	たいとう	228
戦力	せんりょく	228
法律	ほうりつ	228
納税	のうぜい	228
兵役	へいえき	228
最高機関	さいこうきかん	228
立法機関	りっぽうきかん	228
臨時	りんじ	228
緊急集会	きんきゅうしゅうかい	228
条約	じょうやく	228
内閣総理大臣	ないかくそうりだいじん	228
公聴会	こうちょうかい	228
任期	にんき	228
予算	よさん	228
内閣不信任	ないかくふしんにん	228
総辞職	そうじしょく	228
本会議	ほんかいぎ	228
行政権	ぎょうせいけん	229
国務大臣	こくむだいじん	229
文民	ぶんみん	229
議院内閣制	ぎいんないかくせい	229
与党	よとう	229
野党	やとう	229
連立	れんりつ	229
閣議	かくぎ	229
政令	せいれい	229
最高裁判所長官	さいこうさいばんしょちょうかん	229
裁判官	さいばんかん	229
助言	じょげん	229
政府	せいふ	229
内閣府	ないかくふ	229
総務省	そうむしょう	229
財務省	ざいむしょう	229
国土交通省	こくどこうつうしょう	229
厚生労働省	こうせいろうどうしょう	229
文部科学省	もんぶかがくしょう	229
防衛省	ぼうえいしょう	229
行政改革	ぎょうせいかいかく	229
最高裁判所	さいこうさいばんしょ	229
民事裁判	みんじさいばん	229
刑事裁判	けいじさいばん	229
検察官	けんさつかん	229
高等裁判所	こうとうさいばんしょ	229
地方裁判所	ちほうさいばんしょ	229
家庭裁判所	かていさいばんしょ	229
簡易裁判所	かんいさいばんしょ	229
違憲立法審査	いけんりっぽうしんさ	229
法令審査	ほうれいしんさ	229
違憲審査	いけんしんさ	229
憲法の番人	けんぽうのばんにん	229
裁判員	さいばんいん	229
三審制	さんしんせい	229
黙秘	もくひ	229
立法	りっぽう	229
独裁	どくさい	229
専制	せんせい	229
選挙	せんきょ	229
世論	よろん	229
国民審査	こくみんしんさ	229
間接民主制	かんせつみんしゅせい	229
代議制	だいぎせい	229
