ヒートアイランド現象	ひーとあいらんどげんしょう
合計特殊出生率	ごうけいとくしゅしゅっしょうりつ
政令指定都市	せいれいしていとし
三大都市圏	さんだいとしけん
少子高齢化	しょうしこうれいか
県庁所在地	けんちょうしょざいち
人口密度	じんこうみつど
夜間人口	やかんじんこう
昼間人口	ちゅうかんじんこう
都道府県	とどうふけん
内陸県	ないりくけん
周辺部	しゅうへんぶ
総人口	そうじんこう
高齢者	こうれいしゃ
過密	かみつ
過疎	かそ
都心	としん
成田国際空港	なりたこくさいくうこう
さいたま市	さいたまし
名古屋港	なごやこう
宇都宮市	うつのみやし
東大阪市	ひがしおおさかし
西アジア	にしあじあ
鹿児島市	かごしまし
三条市	さんじょうし
京都市	きょうとし
前橋市	まえばしし
北九州	きたきゅうしゅう
名古屋	なごや
奈良市	ならし
広島市	ひろしまし
明石市	あかしし
札幌市	さっぽろし
松山市	まつやまし
松江市	まつえし
水戸市	みとし
浜松市	はままつし
瀬戸内	せとうち
瀬戸市	せとし
白川郷	しらかわごう
盛岡市	もりおかし
神戸市	こうべし
豊田市	とよたし
銚子港	ちょうしこう
鯖江市	さばえし
中国	ちゅうごく
中東	ちゅうとう
今治	いまばり
児島	こじま
北陸	ほくりく
坂出	さかいで
大阪	おおさか
尾道	おのみち
平泉	ひらいずみ
東京	とうきょう
燕市	つばめし
韓国	かんこく
和歌山県	わかやまけん
神奈川県	かながわけん
鹿児島県	かごしまけん
三重県	みえけん
京都府	きょうとふ
佐賀県	さがけん
兵庫県	ひょうごけん
北海道	ほっかいどう
千葉県	ちばけん
埼玉県	さいたまけん
大分県	おおいたけん
大阪府	おおさかふ
奈良県	ならけん
宮城県	みやぎけん
宮崎県	みやざきけん
富山県	とやまけん
山口県	やまぐちけん
山形県	やまがたけん
山梨県	やまなしけん
岐阜県	ぎふけん
岡山県	おかやまけん
岩手県	いわてけん
島根県	しまねけん
広島県	ひろしまけん
徳島県	とくしまけん
愛媛県	えひめけん
愛知県	あいちけん
新潟県	にいがたけん
東京都	とうきょうと
栃木県	とちぎけん
沖縄県	おきなわけん
滋賀県	しがけん
熊本県	くまもとけん
石川県	いしかわけん
福井県	ふくいけん
福岡県	ふくおかけん
福島県	ふくしまけん
秋田県	あきたけん
群馬県	ぐんまけん
茨城県	いばらきけん
長崎県	ながさきけん
長野県	ながのけん
青森県	あおもりけん
静岡県	しずおかけん
香川県	かがわけん
高知県	こうちけん
鳥取県	とっとりけん
