千島海流	ちしまかいりゅう
大陸だな	たいりくだな
日本海流	にほんかいりゅう
栽培漁業	さいばいぎょぎょう
沖合漁業	おきあいぎょぎょう
沿岸漁業	えんがんぎょぎょう
遠洋漁業	えんようぎょぎょう
養殖漁業	ようしょくぎょぎょう
大陸棚	たいりくだな
水産業	すいさんぎょう
養殖業	ようしょくぎょう
放流	ほうりゅう
潮目	しおめ
真珠	しんじゅ
稚魚	ちぎょ
親潮	おやしお
養殖	ようしょく
黒潮	くろしお
第2種兼業農家	だいにしゅけんぎょうのうか
水田単作地帯	すいでんたんさくちたい
後継者不足	こうけいしゃぶそく
房総導水路	ぼうそうどうすいろ
集約的農業	しゅうやくてきのうぎょう
食料自給率	しょくりょうじきゅうりつ
両総用水	りょうそうようすい
促成栽培	そくせいさいばい
兼業農家	けんぎょうのうか
品種改良	ひんしゅかいりょう
地産地消	ちさんちしょう
愛知用水	あいちようすい
抑制栽培	よくせいさいばい
有機栽培	ゆうきさいばい
有機農業	ゆうきのうぎょう
武蔵水路	むさしすいろ
減反政策	げんたんせいさく
生産調整	せいさんちょうせい
耕地面積	こうちめんせき
豊川用水	とよがわようすい
農業用水	のうぎょうようすい
近郊農業	きんこうのうぎょう
野辺山原	のべやまはら
集約農業	しゅうやくのうぎょう
食品ロス	しょくひんろす
高原野菜	こうげんやさい
二期作	にきさく
二毛作	にもうさく
代かき	しろかき
収穫量	しゅうかくりょう
嬬恋村	つまごいむら
農産物	のうさんぶつ
電照菊	でんしょうぎく
乳牛	にゅうぎゅう
品種	ひんしゅ
畑作	はたさく
畜産	ちくさん
稲作	いなさく
耕地	こうち
肉牛	にくぎゅう
輪作	りんさく
農業	のうぎょう
酪農	らくのう
飼料	しりょう
