石油化学コンビナート	せきゆかがくこんびなーと
北九州工業地域	きたきゅうしゅうこうぎょうちいき
北九州工業地帯	きたきゅうしゅうこうぎょうちたい
瀬戸内工業地域	せとうちこうぎょうちいき
中京工業地帯	ちゅうきょうこうぎょうちたい
京浜工業地帯	けいひんこうぎょうちたい
京葉工業地域	けいようこうぎょうちいき
伝統的工芸品	でんとうてきこうげいひん
太平洋ベルト	たいへいようべると
東海工業地域	とうかいこうぎょうちいき
産業の空洞化	さんぎょうのくうどうか
精密機械工業	せいみつきかいこうぎょう
阪神工業地帯	はんしんこうぎょうちたい
八幡製鉄所	やはたせいてつしょ
工業出荷額	こうぎょうしゅっかがく
自動車工業	じどうしゃこうぎょう
重化学工業	じゅうかがくこうぎょう
金属洋食器	きんぞくようしょっき
中小工場	ちゅうしょうこうじょう
伝統工業	でんとうこうぎょう
加工貿易	かこうぼうえき
化学工業	かがくこうぎょう
工業地域	こうぎょうちいき
工業地帯	こうぎょうちたい
機械工業	きかいこうぎょう
集積回路	しゅうせきかいろ
印刷業	いんさつぎょう
製鉄所	せいてつしょ
軽工業	けいこうぎょう
鉄鋼業	てっこうぎょう
陶磁器	とうじき
工業	こうぎょう
経済連携協定	けいざいれんけいきょうてい
燃料資源	ねんりょうしげん
環太平洋	かんたいへいよう
貿易摩擦	ぼうえきまさつ
貿易黒字	ぼうえきくろじ
貿易額	ぼうえきがく
輸入額	ゆにゅうがく
輸出額	ゆしゅつがく
貿易	ぼうえき
輸入	ゆにゅう
輸出	ゆしゅつ
関税	かんぜい
本州四国連絡橋	ほんしゅうしこくれんらくきょう
しまなみ海道	しまなみかいどう
情報通信技術	じょうほうつうしんぎじゅつ
明石海峡大橋	あかしかいきょうおおはし
東海道新幹線	とうかいどうしんかんせん
青函トンネル	せいかんとんねる
海上輸送	かいじょうゆそう
瀬戸大橋	せとおおはし
貨物輸送	かもつゆそう
輸送手段	ゆそうしゅだん
半導体	はんどうたい
新幹線	しんかんせん
自動車	じどうしゃ
航空機	こうくうき
輸送量	ゆそうりょう
通信	つうしん
運輸	うんゆ
鉄道	てつどう
