オホーツク海	おほーつくかい
大隅半島	おおすみはんとう
志摩半島	しまはんとう
房総半島	ぼうそうはんとう
明石海峡	あかしかいきょう
渥美半島	あつみはんとう
猪苗代湖	いなわしろこ
知多半島	ちたはんとう
紀伊半島	きいはんとう
能登半島	のとはんとう
薩摩半島	さつまはんとう
大阪湾	おおさかわん
有明海	ありあけかい
浜名湖	はまなこ
琵琶湖	びわこ
田沢湖	たざわこ
英虞湾	あごわん
諏訪湖	すわこ
半島	はんとう
海峡	かいきょう
湖沼	こしょう
湖	みずうみ
湾	わん
排他的経済水域	はいたてきけいざいすいいき
環太平洋造山帯	かんたいへいようぞうざんたい
標準時子午線	ひょうじゅんじしごせん
固有の領土	こゆうのりょうど
北方領土	ほっぽうりょうど
国土面積	こくどめんせき
地図記号	ちずきご
日本列島	にほんれっとう
水産資源	すいさんしげん
鉱産資源	こうさんしげん
地形図	ちけいず
太平洋	たいへいよう
子午線	しごせん
日本海	にほんかい
標準時	ひょうじゅんじ
沿岸国	えんがんこく
海岸線	かいがんせん
等高線	とうこうせん
造山帯	ぞうざんたい
北端	ほくたん
南端	なんたん
国土	こくど
日本	にほん
時差	じさ
東端	とうたん
東経	とうけい
森林	しんりん
海里	かいり
神社	じんじゃ
経度	けいど
緯度	いど
縮尺	しゅくしゃく
西端	せいたん
領海	りょうかい
日本アルプス	にほんあるぷす
阿武隈高地	あぶくまこうち
雲仙普賢岳	うんぜんふげんだけ
カルデラ	かるでら
中国山地	ちゅうごくさんち
中央高地	ちゅうおうこうち
四国山地	しこくさんち
奥羽山脈	おううさんみゃく
木曽山脈	きそさんみゃく
白神山地	しらかみさんち
赤石山脈	あかいしさんみゃく
飛騨山脈	ひださんみゃく
飛驒山脈	ひださんみゃく
富士山	ふじさん
普賢岳	ふげんだけ
火山灰	かざんばい
火砕流	かさいりゅう
石鎚山	いしづちさん
阿蘇山	あそさん
雲仙岳	うんぜんだけ
剣山	つるぎさん
山地	さんち
山脈	さんみゃく
火山	かざん
高地	こうち
与那国島	よなぐにじま
南西諸島	なんせいしょとう
尖閣諸島	せんかくしょとう
歯舞群島	はぼまいぐんとう
沖ノ鳥島	おきのとりしま
知床半島	しれとこはんとう
南鳥島	みなみとりしま
国後島	くなしりとう
屋久島	やくしま
択捉島	えとろふとう
色丹島	しこたんとう
桜島	さくらじま
知床	しれとこ
竹島	たけしま
カルスト地形	かるすとちけい
関東ローム層	かんとうろーむそう
シラス台地	しらすだいち
リアス海岸	りあすかいがん
牧ノ原台地	まきのはらだいち
牧之原台地	まきのはらだいち
関東ローム	かんとうろーむ
三陸海岸	さんりくかいがん
上川盆地	かみかわぼんち
仙台平野	せんだいへいや
十勝平野	とかちへいや
宮崎平野	みやざきへいや
山形盆地	やまがたぼんち
庄内平野	しょうないへいや
根釧台地	こんせんだいち
津軽平野	つがるへいや
濃尾平野	のうびへいや
甲府盆地	こうふぼんち
石狩平野	いしかりへいや
筑紫平野	つくしへいや
讃岐平野	さぬきへいや
越後平野	えちごへいや
関東平野	かんとうへいや
高知平野	こうちへいや
鳥取砂丘	とっとりさきゅう
三角州	さんかくす
八郎潟	はちろうがた
干拓地	かんたくち
扇状地	せんじょうち
泥炭地	でいたんち
石灰岩	せっかいがん
丘陵	きゅうりょう
台地	だいち
客土	きゃくど
干拓	かんたく
平野	へいや
盆地	ぼんち
砂丘	さきゅう
輪中	わじゅう
遠浅	とおあさ
太平洋側	たいへいようがわ
日本海側	にほんかいがわ
気候区分	きこうくぶん
豪雪地帯	ごうせつちたい
内陸性	ないりくせい
季節風	きせつふう
降水量	こうすいりょう
冷害	れいがい
北東	ほくとう
北西	ほくせい
台風	たいふう
梅雨	つゆ
温暖	おんだん
四万十川	しまんとがわ
流域面積	りゅういきめんせき
阿武隈川	あぶくまがわ
信濃川	しなのがわ
利根川	とねがわ
北上川	きたかみがわ
吉野川	よしのがわ
天竜川	てんりゅうがわ
富士川	ふじかわ
揖斐川	いびがわ
最上川	もがみがわ
木曽川	きそがわ
石狩川	いしかりがわ
神通川	じんづうがわ
筑後川	ちくごがわ
長良川	ながらがわ
高梁川	たかはしがわ
河口	かこう
河川	かせん
流域	りゅういき
淀川	よどがわ
荒川	あらかわ
