持続可能な開発目標	じぞくかのうなかいはつもくひょう
公害対策基本法	こうがいたいさくきほんほう
四日市ぜんそく	よっかいちぜんそく
世界文化遺産	せかいぶんかいさん
世界自然遺産	せかいしぜんいさん
温室効果ガス	おんしつこうかがす
二酸化炭素	にさんかたんそ
亜硫酸ガス	ありゅうさんがす
原爆ドーム	げんばくどーむ
四大公害病	よんだいこうがいびょう
地球温暖化	ちきゅうおんだんか
平和記念碑	へいわきねんひ
新潟水俣病	にいがたみなまたびょう
日光の社寺	にっこうのしゃじ
環境基本法	かんきょうきほんほう
大気汚染	たいきおせん
有機水銀	ゆうきすいぎん
水俣病	みなまたびょう
環境庁	かんきょうちょう
環境省	かんきょうしょう
公害	こうがい
再生可能エネルギー	さいせいかのうえねるぎー
日本三大美林	にほんさんだいびりん
液化天然ガス	えきかてんねんがす
福島第一原発	ふくしまだいいちげんぱつ
原子力発電	げんしりょくはつでん
木曽ひのき	きそひのき
石油の備蓄	せきゆのびちく
地下資源	ちかしげん
地熱発電	ちねつはつでん
火力発電	かりょくはつでん
秋田すぎ	あきたすぎ
輸入木材	ゆにゅうもくざい
青森ひば	あおもりひば
人工林	じんこうりん
八丁原	はっちょうばる
天然林	てんねんりん
太陽光	たいようこう
鉄鉱石	てっこうせき
備蓄	びちく
原油	げんゆ
地熱	ちねつ
林業	りんぎょう
石炭	せきたん
風力	ふうりょく
