# 表記	よみ	出典ページ
# Source: 四科のまとめ 社会 巻末解答（ふりがな付き）
打製	だせい	214
岩宿	いわじゅく	214
磨製	ませい	214
青銅	せいどう	214
大森貝塚	おおもりかいづか	214
三内丸山	さんないまるやま	214
邪馬台国	やまたいこく	214
卑弥呼	ひみこ	214
登呂	とろ	214
吉野ヶ里	よしのがり	214
魏志倭人伝	ぎしわじんでん	214
大仙	だいせん	214
推古天皇	すいこてんのう	214
冠位十二階	かんいじゅうにかい	214
憲法十七条	けんぽうじゅうしちじょう	214
十七条の憲法	じゅうしちじょうのけんぽう	217
小野妹子	おののいもこ	214
蘇我	そが	214
白村江	はくすきのえ	214
新羅	しらぎ	214
中大兄	なかのおおえ	214
中大兄皇子	なかのおおえのおうじ	217
天智天皇	てんじてんのう	214
壬申の乱	じんしんのらん	214
天武天皇	てんむてんのう	214
藤原京	ふじわらきょう	214
稲荷山	いなりやま	214
稲荷山古墳	いなりやまこふん	214
江田船山	えたふなやま	214
江田船山古墳	えたふなやまこふん	214
渡来人	とらいじん	214
中臣鎌足	なかとみのかまたり	214
岩宿遺跡	いわじゅくいせき	214
三内丸山遺跡	さんないまるやまいせき	214
奴国	なこく	214
前方後円墳	ぜんぽうこうえんふん	214
氏姓制度	しせいせいど	214
聖徳太子	しょうとくたいし	214
厩戸皇子	うまやどのおうじ	214
大化の改新	たいかのかいしん	214
平城京	へいじょうきょう	214
聖武天皇	しょうむてんのう	214
墾田永年私財法	こんでんえいねんしざいほう	214
東大寺	とうだいじ	214
鑑真	がんじん	214
防人	さきもり	214
桓武天皇	かんむてんのう	214
征夷大将軍	せいいたいしょうぐん	214
摂政	せっしょう	214
菅原道真	すがわらのみちざね	214
平将門	たいらのまさかど	214
平将門の乱	たいらのまさかどのらん	214
藤原純友	ふじわらのすみとも	214
藤原道長	ふじわらのみちなが	214
藤原頼通	ふじわらのよりみち	214
白河上皇	しらかわじょうこう	214
保元の乱	ほうげんのらん	214
平治の乱	へいじのらん	214
太政大臣	だじょうだいじん	214
壇ノ浦	だんのうら	214
摂関政治	せっかんせいじ	214
唐招提寺	とうしょうだいじ	214
坂上田村麻呂	さかのうえのたむらまろ	214
守護	しゅご	214
地頭	じとう	214
源頼朝	みなもとのよりとも	214
承久の乱	じょうきゅうのらん	214
六波羅探題	ろくはらたんだい	214
北条泰時	ほうじょうやすとき	214
御成敗式目	ごせいばいしきもく	214
貞永式目	じょうえいしきもく	214
文永の役	ぶんえいのえき	214
弘安の役	こうあんのえき	214
徳政令	とくせいれい	214
封建	ほうけん	214
後鳥羽上皇	ごとばじょうこう	214
執権	しっけん	214
北条政子	ほうじょうまさこ	214
北条時宗	ほうじょうときむね	214
元寇	げんこう	214
蒙古襲来	もうこしゅうらい	214
後醍醐天皇	ごだいごてんのう	214
足利義満	あしかがよしみつ	214
勘合	かんごう	214
倭寇	わこう	214
応仁の乱	おうにんのらん	214
織田信長	おだのぶなが	214
桶狭間	おけはざま	214
桶狭間の戦い	おけはざまのたたかい	214
長篠	ながしの	214
長篠の戦い	ながしののたたかい	226
武田勝頼	たけだかつより	214
明智光秀	あけちみつひで	214
本能寺	ほんのうじ	214
本能寺の変	ほんのうじのへん	214
豊臣秀吉	とよとみひでよし	214
小田原城	おだわらじょう	214
太閤検地	たいこうけんち	214
刀狩	かたながり	214
文禄の役	ぶんろくのえき	214
慶長の役	けいちょうのえき	214
関ヶ原	せきがはら	214
朱印状	しゅいんじょう	214
徳川秀忠	とくがわひでただ	214
大坂の陣	おおさかのじん	214
武家諸法度	ぶけしょはっと	214
徳川家光	とくがわいえみつ	214
天草四郎	あまくさしろう	214
益田四郎時貞	ますだしろうときさだ	214
島原・天草一揆	しまばら・あまくさいっき	215
徳川綱吉	とくがわつなよし	215
生類憐みの令	しょうるいあわれみのれい	215
徳川吉宗	とくがわよしむね	215
目安箱	めやすばこ	215
田沼意次	たぬまおきつぐ	215
株仲間	かぶなかま	215
松平定信	まつだいらさだのぶ	215
享保の改革	きょうほうのかいかく	215
寛政の改革	かんせいのかいかく	215
天明のききん	てんめいのききん	215
異国船打払令	いこくせんうちはらいれい	215
外国船打払令	がいこくせんうちはらいれい	215
大塩平八郎	おおしおへいはちろう	215
大塩平八郎の乱	おおしおへいはちろうのらん	215
水野忠邦	みずのただくに	215
日米和親条約	にちべいわしんじょうやく	215
函館	はこだて	215
下田	しもだ	215
井伊直弼	いいなおすけ	215
日米修好通商条約	にちべいしゅうこうつうしょうじょうやく	215
関税自主権	かんぜいじしゅけん	215
領事裁判権	りょうじさいばんけん	215
治外法権	ちがいほうけん	215
桜田門外の変	さくらだもんがいのへん	215
薩英戦争	さつえいせんそう	215
徳川慶喜	とくがわよしのぶ	215
大政奉還	たいせいほうかん	215
王政復古	おうせいふっこ	215
勝海舟	かつかいしゅう	215
戊辰戦争	ぼしんせんそう	215
坂本龍馬	さかもとりょうま	215
五稜郭	ごりょうかく	215
五か条の御誓文	ごかじょうのごせいもん	215
版籍奉還	はんせきほうかん	215
廃藩置県	はいはんちけん	215
岩倉具視	いわくらともみ	215
学制	がくせい	215
富岡製糸場	とみおかせいしじょう	215
徴兵令	ちょうへいれい	215
地租改正	ちそかいせい	215
西郷隆盛	さいごうたかもり	215
民撰議院設立建白書	みんせんぎいんせつりつけんぱくしょ	215
自由民権	じゆうみんけん	215
自由民権運動	じゆうみんけんうんどう	215
西南戦争	せいなんせんそう	215
板垣退助	いたがきたいすけ	215
大隈重信	おおくましげのぶ	215
伊藤博文	いとうひろぶみ	215
鹿鳴館	ろくめいかん	215
大日本帝国憲法	だいにっぽんていこくけんぽう	215
衆議院	しゅうぎいん	215
帝国議会	ていこくぎかい	215
藩閥	はんばつ	215
藩閥政治	はんばつせいじ	215
富国強兵	ふこくきょうへい	215
地主	じぬし	215
太陽暦	たいようれき	215
新橋駅	しんばしえき	215
横浜駅	よこはまえき	215
自由党	じゆうとう	215
直接国税	ちょくせつこくぜい	215
陸奥宗光	むつむねみつ	215
日清戦争	にっしんせんそう	215
下関条約	しものせきじょうやく	215
八幡製鉄所	やはたせいてつしょ	215
日英同盟	にちえいどうめい	215
日露戦争	にちろせんそう	215
小村寿太郎	こむらじゅたろう	215
韓国併合	かんこくへいごう	216
第一次世界大戦	だいいちじせかいたいせん	215
二十一か条の要求	にじゅういっかじょうのようきゅう	215
吉野作造	よしのさくぞう	215
シベリア出兵	しべりあしゅっぺい	216
米騒動	こめそうどう	216
原敬	はらたかし	216
全国水平社	ぜんこくすいへいしゃ	216
治安維持法	ちあんいじほう	216
普通選挙	ふつうせんきょ	216
普通選挙法	ふつうせんきょほう	216
関東大震災	かんとうだいしんさい	216
世界恐慌	せかいきょうこう	216
柳条湖	りゅうじょうこ	216
満州事変	まんしゅうじへん	216
満州国	まんしゅうこく	216
犬養毅	いぬかいつよし	216
国際連盟	こくさいれんめい	216
盧溝橋	ろこうきょう	216
日中戦争	にっちゅうせんそう	216
国家総動員法	こっかそうどういんほう	216
東条英機	とうじょうひでき	216
真珠湾	しんじゅわん	216
ポツダム宣言	ぽつだむせんげん	216
農地改革	のうちかいかく	216
財閥解体	ざいばつかいたい	216
日本国憲法	にほんこくけんぽう	216
公布	こうふ	216
施行	しこう	216
特需景気	とくじゅけいき	216
第五福竜丸	だいごふくりゅうまる	216
鳩山一郎	はとやまいちろう	216
所得倍増計画	しょとくばいぞうけいかく	216
佐藤栄作	さとうえいさく	216
日韓基本条約	にっかんきほんじょうやく	216
公害対策基本法	こうがいたいさくきほんほう	216
非核三原則	ひかくさんげんそく	216
日中共同声明	にっちゅうきょうどうせいめい	216
石油危機	せきゆきき	216
日米貿易摩擦	にちべいぼうえきまさつ	216
阪神・淡路大震災	はんしん・あわじだいしんさい	216
東日本大震災	ひがしにほんだいしんさい	216
縄文土器	じょうもんどき	225
土偶	どぐう	225
竪穴住居	たてあなじゅうきょ	225
石包丁	いしぼうちょう	225
弥生土器	やよいどき	225
銅鐸	どうたく	225
高床倉庫	たかゆかそうこ	225
法隆寺	ほうりゅうじ	225
飛鳥	あすか	225
国分寺	こくぶんじ	225
国分尼寺	こくぶんにじ	225
正倉院	しょうそういん	223
校倉造	あぜくらづくり	223
木簡	もっかん	225
寝殿造	しんでんづくり	223
平等院鳳凰堂	びょうどういんほうおうどう	223
中尊寺金色堂	ちゅうそんじこんじきどう	223
金剛力士像	こんごうりきしぞう	223
大和絵	やまとえ	223
水墨画	すいぼくが	223
浮世絵	うきよえ	223
古事記	こじき	223
日本書紀	にほんしょき	223
風土記	ふどき	223
万葉集	まんようしゅう	223
源氏物語	げんじものがたり	223
枕草子	まくらのそうし	223
平家物語	へいけものがたり	223
お伽草子	おとぎぞうし	223
朱子学	しゅしがく	223
国学	こくがく	223
蘭学	らんがく	223
真言宗	しんごんしゅう	223
天台宗	てんだいしゅう	223
浄土教	じょうどきょう	223
浄土宗	じょうどしゅう	223
浄土真宗	じょうどしんしゅう	223
臨済宗	りんざいしゅう	223
曹洞宗	そうとうしゅう	223
埴輪	はにわ	223
狂言	きょうげん	223
歌舞伎	かぶき	223
寺子屋	てらこや	223
親鸞	しんらん	223
栄西	えいさい	223
運慶	うんけい	223
足利尊氏	あしかがたかうじ	223
金閣	きんかく	223
銀閣	ぎんかく	223
書院造	しょいんづくり	223
世阿弥	ぜあみ	223
雪舟	せっしゅう	223
千利休	せんのりきゅう	223
井原西鶴	いはらさいかく	223
近松門左衛門	ちかまつもんざえもん	223
松尾芭蕉	まつおばしょう	223
本居宣長	もとおりのりなが	223
解体新書	かいたいしんしょ	223
伊能忠敬	いのうただたか	223
十返舎一九	じっぺんしゃいっく	223
