# 表記	よみ	出典ページ	分野
# active辞書に昇格していない参照用読み。短語・文脈依存・地理補助語を含むため build 対象外。
飛驒	ひだ	206	geography
木曽	きそ	206	geography
赤石	あかいし	206	geography
奥羽	おうう	206	geography
北上	きたかみ	206	geography
筑紫	つくし	206	geography
阿蘇	あそ	206	geography
球磨	くま	206	geography
濃尾	のうび	206	geography
諏訪	すわ	206	geography
上川	かみかわ	206	geography
石狩	いしかり	206	geography
津軽	つがる	206	geography
最上	もがみ	206	geography
庄内	しょうない	206	geography
阿賀野	あがの	206	geography
越後	えちご	206	geography
信濃	しなの	206	geography
神通	じんづう	206	geography
天竜	てんりゅう	206	geography
十和田	とわだ	206	geography
十勝	とかち	206	geography
利根	とね	206	geography
能登	のと	206	geography
若狭	わかさ	206	geography
隠岐	おき	206	geography
対馬	つしま	206	geography
有明	ありあけ	206	geography
薩摩	さつま	206	geography
種子島	たねがしま	206	geography
大隅	おおすみ	206	geography
淡路島	あわじしま	206	geography
紀伊	きい	206	geography
志摩	しま	206	geography
知多	ちた	206	geography
渥美	あつみ	206	geography
伊豆	いず	206	geography
男鹿	おが	206	geography
佐渡島	さどがしま	206	geography
三浦	みうら	206	geography
房総	ぼうそう	206	geography
九十九里	くじゅうくり	206	geography
潮目	しおめ	206	geography
牡鹿	おしか	206	geography
三陸	さんりく	206	geography
知床	しれとこ	206	geography
択捉島	えとろふとう	206	geography
国後島	くなしりとう	206	geography
色丹島	しこたんとう	206	geography
歯舞群島	はぼまいぐんとう	206	geography
梅雨	つゆ	207	geography
高潮	たかしお	207	geography
過疎	かそ	207	geography
過密	かみつ	207	geography
田起こし	たおこし	207	geography
代かき	しろかき	207	geography
中干し	なかぼし	207	geography
脱穀	だっこく	207	geography
魏志	ぎし	214	history
天智	てんじ	214	history
壬申	じんしん	214	history
天武	てんむ	214	history
大宝	たいほう	214	history
摂関	せっかん	214	history
後鳥羽	ごとば	214	history
文禄	ぶんろく	214	history
慶長	けいちょう	214	history
島原・天草	しまばら・あまくさ	214	history
天明	てんめい	215	history
享保	きょうほう	215	history
寛政	かんせい	215	history
天保	てんぽう	215	history
安政	あんせい	215	history
薩英	さつえい	215	history
戊辰	ぼしん	215	history
日清	にっしん	215	history
日露	にちろ	215	history
治安維持	ちあんいじ	216	history
五・一五	ご・いちご	216	history
二・二六	に・にろく	216	history
日中	にっちゅう	216	history
国家総動員	こっかそうどういん	216	history
特需	とくじゅ	216	history
所得倍増	しょとくばいぞう	216	history
日韓基本	にっかんきほん	216	history
公害対策基本	こうがいたいさくきほん	216	history
能	のう	223	history
高麗	こうらい	235	history
